R1,R2,R3,R4,R5,Fault_DRM
0.188976378,2.53125,3.375,0.000123457,3200,ARCING
0.174796748,2.523809524,1.23255814,0.000188679,2100,ARCING
0.166684027,1.428540819,2.499812523,0.204989751,3.414878049,ARCING
0.135712347,2.4995001,1.315789474,0.288,1.389166667,ARCING
0.19047619,2.5003125,3.33375,0.000124984,3200,ARCING
0.174089069,2.619047619,1.279069767,0.018181818,21,ARCING
0.429129288,1.983821734,3.196753566,0.027158024,18.56090652,ARCING
0.470443854,1.160758929,1.256086957,0.169224261,5.090909091,ARCING
0.914893617,1.0668,1.860697674,0.049993751,18.75,ARCING
0.196850394,2.640594059,3.2004,0.000124984,3030,ARCING
0.178861789,2.5,1.25,0.000181818,2200,ARCING
0.429069031,1.983308413,3.197785978,0.027155935,18.56713881,ARCING
0.471655329,1.156113828,1.250048077,0.165378255,5.230232558,ARCING
0.916666667,1.035058215,1.818409091,0.037495313,25.76666667,ARCING
0.188976378,2.547169811,3.375,0.000123457,3180,ARCING
0.174796748,2.572815534,1.23255814,0.000188679,2060,ARCING
0.429174583,1.983971913,3.196507624,0.027160114,18.55807365,ARCING
0.469387755,1.154867257,1.260869565,0.164750958,5.255813953,ARCING
0.895833333,1.08,1.88372093,0.037037037,25,ARCING
0.473922902,1.164962205,1.253588517,0.164122137,5.230232558,ARCING
0.916666667,1.025769231,1.818409091,0.037495313,26,ARCING
0.204724409,2.454545455,3.115384615,0.000123457,3300,ARCING
0.182926829,2.572815534,1.177777778,0.000188679,2060,ARCING
0.429069031,1.983971913,3.197293973,0.027160114,18.55807365,ARCING
0.469387755,1.154867257,1.260869565,0.164750958,5.255813953,ARCING
0.895833333,1.0668,1.860697674,0.037495313,25,ARCING
0.348953488,0.828571429,0.966344552,0.345172414,3.496503497,ARCING
0.353058824,0.857428571,1,0.366544485,3.181818182,ARCING
0.337209302,0.833611111,1.034827586,0.333555482,3.596403596,ARCING
0.348953488,0.807799443,0.966344552,0.345172414,3.586413586,ARCING
0.348953488,0.828571429,0.966344552,0.345172414,3.496503497,ARCING
0.256538462,2.384615385,1.549225387,0.35483871,1.181818182,ARCING
0.327901639,3.319018405,5.409459054,0.060998152,4.939393939,ARCING
0.132090762,2.969957082,4.245398773,0.039017341,8.62962963,ARCING
0.133333333,2.881556222,3.686046512,0.041009464,8.462307692,ARCING
0.105368421,3.545454545,3.896103896,0.00025641,1100,ARCING
0.238550459,1.562091503,1.838320129,0.066945607,9.5625,ARCING
0.707008236,1.02808973,1.648642805,0.095627893,10.17148571,ARCING
0.22252625,1.736986301,1.565432099,0.055205047,10.42857143,ARCING
0.201399718,1.454541698,1.222220679,0.055113323,12.4743299,ARCING
0.303311258,1.138638614,2.008777293,0.069563705,12.625,ARCING
0.20226813,2.490131579,8.505617978,0.025099075,16,ARCING
0.348953488,0.807799443,0.966344552,0.345172414,3.586413586,ARCING
0.348953488,0.828571429,0.966344552,0.345172414,3.496503497,ARCING
0.256538462,2.153846154,1.39930035,0.392857143,1.181818182,ARCING
0.327901639,3.360248447,5.409459054,0.060998152,4.878787879,ARCING
0.132519248,2.969957082,4.245398773,0.039017341,8.62962963,ARCING
0.133333333,2.881556222,3.686046512,0.041009464,8.462307692,ARCING
0.105368421,3.545454545,3.896103896,0.00025641,1100,ARCING
0.238550459,1.562091503,1.838320129,0.066945607,9.5625,ARCING
0.707008236,1.02808973,1.648642805,0.095627893,10.17148571,ARCING
0.22252625,1.736986301,1.565432099,0.055205047,10.42857143,ARCING
0.201399718,1.454541698,1.222220679,0.055113323,12.4743299,ARCING
0.353058824,0.857428571,1,0.329890037,3.535353535,ARCING
0.337209302,0.833611111,1.034827586,0.366544485,3.272727273,ARCING
0.119748226,5.340683572,5.11277878,0.020024773,9.350515464,ARCING
0.158803222,2.002,1.813405797,0.1998002,2.5,ARCING
0.375539568,0.831210191,1,0.172413793,6.977777778,ARCING
0.119748226,5.340683572,5.11277878,0.020024773,9.350515464,ARCING
0.158803222,2.002,1.813405797,0.1998002,2.5,ARCING
0.375539568,0.831210191,1,0.172413793,6.977777778,ARCING
0.119748226,5.340683572,5.11277878,0.020024773,9.350515464,ARCING
0.158803222,2.002,1.813405797,0.1998002,2.5,ARCING
0.375539568,0.831210191,1,0.172413793,6.977777778,ARCING
0.119748226,5.340683572,5.11277878,0.020024773,9.350515464,ARCING
0.158803222,2.002,1.813405797,0.1998002,2.5,ARCING
0.375539568,0.831210191,1,0.172413793,6.977777778,ARCING
0.000185185,0.0025,1,1,400,Normal
0.004224193,1.983669109,324.7626187,0.027160114,18.56090652,Normal
0.045396825,1.165178571,13.03696304,0.164750958,5.209302326,Normal
0.010987925,2.37254902,36.26373626,0.636363636,0.662337662,Normal
4300,1.08,1.88372093,0.037037037,25,Normal
1.059748428,1.09948542,1.902077151,0.088923557,10.22807018,Normal
1.619047619,1.319148936,1.823529412,0.080645161,9.4,Normal
1.741228235,1.064966276,2.153632448,0.101332996,9.266447368,Normal
0.091263018,1.786162286,12.08498846,0.015933085,35.1381768,Normal
0.000181818,0.0025,1,1,400,Normal
0.114035088,2.37254902,3.490384615,0.641873278,0.656652361,Normal
1.063091483,1.097787307,1.899139466,0.087498633,10.41071429,Normal
1.699150425,1.29787234,1.794117647,0.06557377,11.75,Normal
1.743429287,1.064966276,2.153632448,0.101666328,9.236065574,Normal
0.425925926,0.37037037,0.043478261,0.01,270,Normal
1.741228235,1.064966276,2.153632448,0.101332996,9.266447368,Normal
0.069993001,0.023325558,0.1,0.014285714,3001,Normal
0.091263018,1.786162286,12.08498846,0.015933085,35.1381768,Normal
0.000181818,0.0025,1,90,4.444444444,Normal
0.114035088,2.341935484,3.490384615,0.641873278,0.665236052,Normal
