R1,R2,R5,Fault_Rogers
0.188976378,2.53125,3200,ARCING
0.174796748,2.523809524,2100,ARCING
0.166684027,1.428540819,3.414878049,ARCING
0.135712347,2.4995001,1.389166667,ARCING
0.19047619,2.5003125,3200,ARCING
0.174089069,2.619047619,21,ARCING
0.429129288,1.983821734,18.56090652,ARCING
0.470443854,1.160758929,5.090909091,ARCING
0.196850394,2.640594059,3030,ARCING
0.178861789,2.5,2200,ARCING
0.429069031,1.983308413,18.56713881,ARCING
0.471655329,1.156113828,5.230232558,ARCING
0.188976378,2.547169811,3180,ARCING
0.174796748,2.572815534,2060,ARCING
0.429174583,1.983971913,18.55807365,ARCING
0.469387755,1.154867257,5.255813953,ARCING
0.166684027,1.428540819,3.414878049,ARCING
0.135712347,2.42248062,1.433333333,ARCING
0.188976378,2.547169811,3180,ARCING
0.174796748,2.572815534,2060,ARCING
0.429174583,1.983971913,18.55807365,ARCING
0.469387755,1.154867257,5.255813953,ARCING
0.166684027,1.428540819,3.414878049,ARCING
0.135712347,2.42248062,1.433333333,ARCING
0.19047619,2.666111296,3001,ARCING
0.174089069,2.619047619,10.5,ARCING
0.429129288,1.983821734,18.71946516,ARCING
0.470443854,1.160758929,5.209302326,ARCING
0.212598425,2.5003125,3200,ARCING
0.178861789,2.545454545,110,ARCING
0.429069031,1.981782674,18.56713881,ARCING
0.473922902,1.164962205,5.230232558,ARCING
0.204724409,2.454545455,3300,ARCING
0.182926829,2.572815534,2060,ARCING
0.429069031,1.983971913,18.55807365,ARCING
0.469387755,1.154867257,5.255813953,ARCING
0.256538462,2.384615385,1.181818182,ARCING
0.327901639,3.319018405,4.939393939,ARCING
0.132090762,2.969957082,8.62962963,ARCING
0.133333333,2.881556222,8.462307692,ARCING
0.105368421,3.545454545,1100,ARCING
0.238550459,1.562091503,9.5625,ARCING
0.22252625,1.736986301,10.42857143,ARCING
0.201399718,1.454541698,12.4743299,ARCING
0.303311258,1.138638614,12.625,ARCING
0.20226813,2.490131579,16,ARCING
0.256538462,2.153846154,1.181818182,ARCING
0.327901639,3.360248447,4.878787879,ARCING
0.132519248,2.969957082,8.62962963,ARCING
3.32E+40,2.002,2.5,ARCING
0.000185185,0.0025,400,Normal
0.004224193,1.983669109,18.56090652,Normal
0.255319149,0.00125,800,Normal
0.045396825,1.165178571,5.209302326,Normal
0.010987925,2.37254902,0.662337662,Normal
4300,1.08,25,Normal
1.059748428,1.09948542,10.22807018,Normal
1.619047619,1.319148936,9.4,Normal
1.741228235,1.064966276,9.266447368,Normal
0.069993001,0.000333222,3001,Normal
0.091263018,1.786162286,35.1381768,Normal
0.923077515,0.540552958,0.586386688,Normal
0.000181818,0.0025,400,Normal
0.260869565,0.00125,4,Normal
0.114035088,2.37254902,0.656652361,Normal
0.914893617,1.0668,18.75,Normal
1.063091483,1.097787307,10.41071429,Normal
1.699150425,1.29787234,11.75,Normal
1.743429287,1.064966276,9.236065574,Normal
0.425925926,0.37037037,270,Normal
0.234042553,0.0999001,1001,Normal
0.115257958,2.341935484,0.670995671,Normal
0.916666667,1.035058215,25.76666667,Normal
1.056603774,1.097787307,10.22807018,Normal
1.571428571,1.276808511,9.4,Normal
1.742478219,1.064788533,9.271052632,Normal
0.000185185,0.002,500,Normal
0.255319149,0.001111111,900,Normal
0.114160263,2.37254902,0.662337662,Normal
0.895833333,1.08,25,Normal
1.059748428,1.09948542,10.22807018,Normal
1.619047619,1.319148936,9.215686275,Normal
1.741228235,1.064966276,9.236065574,Normal
1.059748428,1.09948542,10.22807018,Normal
1.619047619,1.319148936,9.251968504,Normal
1.741228235,1.064966276,9.266447368,Normal
0.069993001,0.023325558,3001,Normal
0.091263018,1.786162286,35.1381768,Normal
0.923077515,0.542958298,0.585458861,Normal
0.000185185,0.002,500,Normal
0.255319149,0.001111111,900,Normal
0.114160263,2.37254902,0.662337662,Normal
0.895833333,1.08,25,Normal
1.059748428,1.09948542,10.22807018,Normal
1.619047619,1.319148936,9.215686275,Normal
1.741228235,1.064966276,9.236065574,Normal
1.059748428,1.09948542,10.22807018,Normal
1.619047619,1.319148936,9.251968504,Normal
1.741228235,1.064966276,9.266447368,Normal
0.069993001,0.023325558,3001,Normal
0.091263018,1.786162286,35.1381768,Normal
0.923077515,0.542958298,0.585458861,Normal
0.000181818,0.0025,4.444444444,Normal
0.217608696,0.00125,4,Normal
0.114035088,2.341935484,0.665236052,Normal
0.851276596,1.142836738,10.00142857,Normal
1.063091483,1.102915952,10.41071429,Normal
1.699150425,1.378219611,15.26206897,Normal
1.743429287,1.064607739,9.38968701,Normal
0.407407407,0.37037037,270,Normal
0.234042553,0.08991009,1001,Normal
0.115257958,2.35483871,0.670995671,Normal
0.916666667,1.025769231,26,Normal
1.056603774,1.097787307,10.22807018,Normal
1.5,1.250208333,9.6,Normal
1.742478219,1.064788533,9.180456026,Normal
0.000185185,0.00125,800,Normal
0.25,0.001111111,900,Normal
0.114160263,2.37254902,0.662337662,Normal
0.895833333,1.0668,25,Normal
1.059748428,1.09948542,10.4293381,Normal
1.545454545,1.319148936,9.215686275,Normal
0.348953488,0.828571429,3.496503497,Normal
1.147058824,0.224943764,4.445555556,Normal
0.444506166,0.644444444,2.647058824,Normal
0.114285714,0.177777778,6.428571429,Normal
0.353058824,0.857428571,3.181818182,Normal
1.181818182,0.199950012,3.997002997,Normal
0.337209302,0.833611111,3.596403596,Normal
1.176764706,0.270540541,4.111111111,Normal
0.348953488,0.807799443,3.586413586,Normal
1.147058824,0.224943764,3.997002997,Normal
